Product,Has account number,open date,current balance,Maturity date,Interest rate,Maturity amount,Bank Name,branch name,Loan number,Loan Amount,Loan Term (years),Loan Interest,Current outstanding Loan amount,Last payment amount,Last payment date,Card number,Current Balance,Credit Limit,Card type,Last Payment Made,Business Name,Business Category Type,Business Account Number,number of employees,business address,year of business registration,financial_year,income,expense,profit,ProductID
Small Business Account,,,,,,,,,,,,,,,,,,,,,Walker Inc,Landscape,BUS35122457,160.0,"9221 Main St, Washington, MD",2007.0,2023.0,3816799.4,3491195.44,325603.96,PROD00031
Small Business Account,,,,,,,,,,,,,,,,,,,,,Walker Inc,Landscape,BUS35122457,160.0,"9221 Main St, Washington, MD",2007.0,2024.0,1768096.64,1028382.47,739714.17,PROD00032
Certificate Of Deposit,CD0724337750,2018-12-28,15045.59,2019-12-28,0.0398,15644.4,United Trust Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00033
Home Loan Account,,,,,,,,,LN166264427142,694561.94,30.0,0.0463,214216.37,1258.49,2024-09-20,,,,,,,,,,,,,,,,PROD00034
Checking Account,CHK2977214415,2013-02-28,7503.94,,0.025,,First National Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00035
Credit Card,,,,,,,,,,,,,,,,3744034462491946.0,5427.79,7500.0,Visa,2020-10-22,,,,,,,,,,,PROD00036
Small Business Account,,,,,,,,,,,,,,,,,,,,,Garcia Enterprise,Dentist,BUS72706517,90.0,"2519 Lakeview Dr, Houston, AZ",2006.0,2022.0,1002413.58,772940.61,229472.97,PROD00037
Small Business Account,,,,,,,,,,,,,,,,,,,,,Garcia Enterprise,Dentist,BUS72706517,90.0,"2519 Lakeview Dr, Houston, AZ",2006.0,2023.0,3805872.17,3025588.66,780283.51,PROD00038
Small Business Account,,,,,,,,,,,,,,,,,,,,,Garcia Enterprise,Dentist,BUS72706517,90.0,"2519 Lakeview Dr, Houston, AZ",2006.0,2024.0,902187.72,764858.18,137329.54,PROD00039
Small Business Account,,,,,,,,,,,,,,,,,,,,,Torres Co,Retail,BUS10432053,116.0,"716 Maple Ave, Jacksonville, NV",2008.0,2022.0,402120.39,357449.85,44670.54,PROD00040
Small Business Account,,,,,,,,,,,,,,,,,,,,,Torres Co,Retail,BUS10432053,116.0,"716 Maple Ave, Jacksonville, NV",2008.0,2023.0,4279360.99,3324009.8,955351.19,PROD00041
Small Business Account,,,,,,,,,,,,,,,,,,,,,Torres Co,Retail,BUS10432053,116.0,"716 Maple Ave, Jacksonville, NV",2008.0,2024.0,2545197.73,1802560.56,742637.17,PROD00042
Home Loan Account,,,,,,,,,LN709516594889,130112.68,20.0,0.022,92070.56,4956.73,2023-11-17,,,,,,,,,,,,,,,,PROD00043
Savings Account,SAV3760633532,2024-02-07,32828.2,,0.0454,,MetroBank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00044
Certificate Of Deposit,CD3963593378,2017-06-23,58691.21,2018-06-23,0.0128,59442.46,Citadel Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00045
Home Loan Account,,,,,,,,,LN650393719127,532305.23,15.0,0.0531,466508.46,3166.55,2024-09-12,,,,,,,,,,,,,,,,PROD00046
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hernandez Inc,Construction,BUS81446242,192.0,"7455 Lakeview Dr, Seattle, CA",2009.0,2022.0,4828671.25,4118695.34,709975.91,PROD00047
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hernandez Inc,Construction,BUS81446242,192.0,"7455 Lakeview Dr, Seattle, CA",2009.0,2023.0,4521792.2,2655681.47,1866110.73,PROD00048
Small Business Account,,,,,,,,,,,,,,,,,,,,,Hernandez Inc,Construction,BUS81446242,192.0,"7455 Lakeview Dr, Seattle, CA",2009.0,2024.0,3397967.99,2571204.07,826763.92,PROD00049
Certificate Of Deposit,CD1268518827,2019-05-23,81872.23,2021-05-22,0.0491,90109.46,Community Savings,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00050
Credit Card,,,,,,,,,,,,,,,,1492430052930986.0,11870.71,3000.0,Visa,2025-10-03,,,,,,,,,,,PROD00051
Credit Card,,,,,,,,,,,,,,,,7469021964721266.0,942.11,20000.0,Mastercard,2021-07-22,,,,,,,,,,,PROD00052
Checking Account,CHK7203516539,2020-03-15,7609.92,,0.0296,,Community Savings,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00053
Small Business Account,,,,,,,,,,,,,,,,,,,,,Harris Enterprise,Real Estate,BUS69207376,198.0,"9633 Riverside Dr, Phoenix, CA",2012.0,2022.0,2739148.45,2372318.92,366829.53,PROD00054
Small Business Account,,,,,,,,,,,,,,,,,,,,,Harris Enterprise,Real Estate,BUS69207376,198.0,"9633 Riverside Dr, Phoenix, CA",2012.0,2023.0,891943.85,758700.08,133243.77,PROD00055
Small Business Account,,,,,,,,,,,,,,,,,,,,,Harris Enterprise,Real Estate,BUS69207376,198.0,"9633 Riverside Dr, Phoenix, CA",2012.0,2024.0,2333822.04,1897222.66,436599.38,PROD00056
Savings Account,SAV9027833384,2005-10-27,37664.55,,0.0104,,Liberty Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00057
Checking Account,CHK7831387839,2019-02-16,10381.03,,0.011,,MetroBank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00058
Certificate Of Deposit,CD0636463083,2023-07-07,55001.97,2025-07-06,0.0227,57527.4,First National Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00059
Checking Account,CHK6706457108,2023-03-17,11719.68,,0.001,,Pioneer Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00060
Credit Card,,,,,,,,,,,,,,,,3901434013329015.0,13703.14,2000.0,Mastercard,2024-02-09,,,,,,,,,,,PROD00061
Home Loan Account,,,,,,,,,LN692101798996,724063.46,25.0,0.0646,616440.15,3616.68,2025-11-08,,,,,,,,,,,,,,,,PROD00062
Credit Card,,,,,,,,,,,,,,,,5121705385603975.0,11537.47,20000.0,Visa,2024-01-20,,,,,,,,,,,PROD00063
Savings Account,SAV6463876194,2025-06-05,43410.58,,0.0417,,United Trust Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00064
Certificate Of Deposit,CD2019266065,2015-01-22,94800.83,2018-01-21,0.0335,104651.05,United Trust Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00065
Savings Account,SAV1693908097,2010-12-09,32556.5,,0.0386,,Community Savings,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00066
Home Loan Account,,,,,,,,,LN563284461443,186485.26,25.0,0.0567,160522.29,4881.8,2019-06-20,,,,,,,,,,,,,,,,PROD00067
Checking Account,CHK5121410984,2011-08-01,12202.17,,0.028,,Citadel Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00068
Savings Account,SAV4309592304,2024-10-16,42142.48,,0.034,,Community Savings,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00069
Home Loan Account,,,,,,,,,LN011234005323,477836.66,25.0,0.0613,297807.67,3133.01,2019-06-12,,,,,,,,,,,,,,,,PROD00070
Credit Card,,,,,,,,,,,,,,,,7397155013446536.0,2437.53,10000.0,Mastercard,2024-03-08,,,,,,,,,,,PROD00071
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Consulting,BUS83695776,7.0,"9879 Walnut St, Dallas, MA",2004.0,2022.0,3612572.56,2754895.36,857677.2,PROD00072
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Consulting,BUS83695776,7.0,"9879 Walnut St, Dallas, MA",2004.0,2023.0,869150.07,680597.83,188552.24,PROD00073
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Consulting,BUS83695776,7.0,"9879 Walnut St, Dallas, MA",2004.0,2024.0,3106284.31,2728949.06,377335.25,PROD00074
Home Loan Account,,,,,,,,,LN609103164798,749045.41,15.0,0.0553,388517.28,2892.26,2025-06-05,,,,,,,,,,,,,,,,PROD00075
Credit Card,,,,,,,,,,,,,,,,3377666125292227.0,4755.61,5000.0,Mastercard,2025-12-23,,,,,,,,,,,PROD00076
Certificate Of Deposit,CD3710909672,2022-11-11,89680.29,2027-11-10,0.0267,102309.23,MetroBank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00077
Certificate Of Deposit,CD5604717059,2023-10-23,25003.35,2025-10-22,0.0418,27137.32,United Trust Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00078
Small Business Account,,,,,,,,,,,,,,,,,,,,,Walker Enterprise,Pediatrician,BUS72207627,218.0,"711 Elm St, Columbus, KY",2001.0,2022.0,4670934.6,2411850.78,2259083.82,PROD00079
Small Business Account,,,,,,,,,,,,,,,,,,,,,Walker Enterprise,Pediatrician,BUS72207627,218.0,"711 Elm St, Columbus, KY",2001.0,2023.0,4184291.93,3575821.75,608470.18,PROD00080
Small Business Account,,,,,,,,,,,,,,,,,,,,,Walker Enterprise,Pediatrician,BUS72207627,218.0,"711 Elm St, Columbus, KY",2001.0,2024.0,947831.93,793384.08,154447.85,PROD00081
Home Loan Account,,,,,,,,,LN805192954984,233170.83,15.0,0.0365,170475.68,3311.77,2020-02-02,,,,,,,,,,,,,,,,PROD00082
Certificate Of Deposit,CD8850611322,2022-09-26,18374.0,2024-09-25,0.0521,20338.45,Citadel Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00083
Certificate Of Deposit,CD2641698766,2023-01-24,26893.76,2024-01-24,0.0248,27560.73,MetroBank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00084
Certificate Of Deposit,CD4545622780,2013-06-08,75025.75,2018-06-07,0.0383,90536.69,United Trust Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00085
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Landscape,BUS91892518,114.0,"2004 Washington St, Nashville, CO",2021.0,2022.0,472889.39,345052.69,127836.7,PROD00086
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Landscape,BUS91892518,114.0,"2004 Washington St, Nashville, CO",2021.0,2023.0,4047286.57,2849469.99,1197816.58,PROD00087
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rivera Co,Landscape,BUS91892518,114.0,"2004 Washington St, Nashville, CO",2021.0,2024.0,2575974.26,1817502.63,758471.63,PROD00088
Savings Account,SAV4873875030,2006-05-09,46729.14,,0.0044,,First National Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00089
Checking Account,CHK2116793849,2016-06-19,5634.68,,0.0205,,Pioneer Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00090
Small Business Account,,,,,,,,,,,,,,,,,,,,,Thompson LLC,Lawyer,BUS93198794,185.0,"9020 Broadway, Seattle, TX",2004.0,2022.0,1252609.95,821426.38,431183.57,PROD00091
Small Business Account,,,,,,,,,,,,,,,,,,,,,Thompson LLC,Lawyer,BUS93198794,185.0,"9020 Broadway, Seattle, TX",2004.0,2023.0,1392735.64,1283871.99,108863.65,PROD00092
Small Business Account,,,,,,,,,,,,,,,,,,,,,Thompson LLC,Lawyer,BUS93198794,185.0,"9020 Broadway, Seattle, TX",2004.0,2024.0,3630619.25,1999672.79,1630946.46,PROD00093
Savings Account,SAV4780210570,2021-08-11,2211.84,,0.0225,,Citadel Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00094
Checking Account,CHK2955782895,2017-04-10,4507.51,,0.0018,,Community Savings,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00095
Savings Account,SAV9644996734,2008-05-07,14994.42,,0.01,,Community Savings,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00096
Savings Account,SAV7895951226,2025-09-07,22489.34,,0.0192,,MetroBank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00097
Home Loan Account,,,,,,,,,LN803600856229,338028.62,15.0,0.0306,64233.45,3759.08,2023-05-16,,,,,,,,,,,,,,,,PROD00098
Home Loan Account,,,,,,,,,LN324633848773,242971.12,25.0,0.0407,136677.26,1262.12,2019-08-21,,,,,,,,,,,,,,,,PROD00099
Small Business Account,,,,,,,,,,,,,,,,,,,,,Scott Enterprise,Dentist,BUS13384662,211.0,"8105 Walnut St, Charlotte, PA",2012.0,2022.0,862943.24,711186.98,151756.26,PROD00100
Small Business Account,,,,,,,,,,,,,,,,,,,,,Scott Enterprise,Dentist,BUS13384662,211.0,"8105 Walnut St, Charlotte, PA",2012.0,2023.0,2451815.28,2237538.21,214277.07,PROD00101
Small Business Account,,,,,,,,,,,,,,,,,,,,,Scott Enterprise,Dentist,BUS13384662,211.0,"8105 Walnut St, Charlotte, PA",2012.0,2024.0,2719841.54,2145449.79,574391.75,PROD00102
Savings Account,SAV0896748270,2016-05-05,22800.48,,0.004,,First National Bank,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00103
Credit Card,,,,,,,,,,,,,,,,6054075256491952.0,9296.71,5000.0,Mastercard,2025-06-02,,,,,,,,,,,PROD00104
Credit Card,,,,,,,,,,,,,,,,4262809604346708.0,9673.61,5000.0,Visa,2024-07-21,,,,,,,,,,,PROD00105
Checking Account,CHK2962561802,2011-03-27,11283.82,,0.0214,,Community Savings,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00106
Savings Account,SAV2558653776,2006-10-05,25039.64,,0.0487,,Pioneer Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00107
Small Business Account,,,,,,,,,,,,,,,,,,,,,Ramirez Inc,Landscape,BUS37937029,126.0,"3837 Chestnut St, Seattle, TX",2017.0,2022.0,944974.47,721623.9,223350.57,PROD00108
Small Business Account,,,,,,,,,,,,,,,,,,,,,Ramirez Inc,Landscape,BUS37937029,126.0,"3837 Chestnut St, Seattle, TX",2017.0,2023.0,1912762.11,1621018.7,291743.41,PROD00109
Small Business Account,,,,,,,,,,,,,,,,,,,,,Ramirez Inc,Landscape,BUS37937029,126.0,"3837 Chestnut St, Seattle, TX",2017.0,2024.0,1490989.81,910849.26,580140.55,PROD00110
Certificate Of Deposit,CD1330947104,2016-01-05,38620.0,2018-01-04,0.0481,42424.6,First National Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00111
Small Business Account,,,,,,,,,,,,,,,,,,,,,Garcia Co,IT Services,BUS05332309,232.0,"4077 Third St, Indianapolis, PA",2014.0,2022.0,864118.69,536629.4,327489.29,PROD00112
Small Business Account,,,,,,,,,,,,,,,,,,,,,Garcia Co,IT Services,BUS05332309,232.0,"4077 Third St, Indianapolis, PA",2014.0,2023.0,1356665.85,767426.08,589239.77,PROD00113
Small Business Account,,,,,,,,,,,,,,,,,,,,,Garcia Co,IT Services,BUS05332309,232.0,"4077 Third St, Indianapolis, PA",2014.0,2024.0,852692.86,532236.25,320456.61,PROD00114
Credit Card,,,,,,,,,,,,,,,,3974641038384486.0,8915.89,5000.0,Mastercard,2020-11-11,,,,,,,,,,,PROD00115
Home Loan Account,,,,,,,,,LN133769732739,239810.05,20.0,0.0541,131919.31,4774.42,2023-03-06,,,,,,,,,,,,,,,,PROD00116
Savings Account,SAV4268744626,2021-01-16,21156.4,,0.0195,,Liberty Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00117
Small Business Account,,,,,,,,,,,,,,,,,,,,,Wright Enterprise,IT Services,BUS09785912,171.0,"5916 Elm St, Boston, DC",1992.0,2022.0,2824837.06,2232367.15,592469.91,PROD00118
Small Business Account,,,,,,,,,,,,,,,,,,,,,Wright Enterprise,IT Services,BUS09785912,171.0,"5916 Elm St, Boston, DC",1992.0,2023.0,3240783.16,3030342.94,210440.22,PROD00119
Small Business Account,,,,,,,,,,,,,,,,,,,,,Wright Enterprise,IT Services,BUS09785912,171.0,"5916 Elm St, Boston, DC",1992.0,2024.0,1671351.58,1434527.71,236823.87,PROD00120
Credit Card,,,,,,,,,,,,,,,,2555543755301491.0,14110.14,3000.0,Mastercard,2021-02-07,,,,,,,,,,,PROD00121
Credit Card,,,,,,,,,,,,,,,,4446338186619211.0,8397.73,7500.0,Visa,2025-11-04,,,,,,,,,,,PROD00122
Home Loan Account,,,,,,,,,LN406153727801,878380.36,20.0,0.0383,173106.17,746.98,2025-07-10,,,,,,,,,,,,,,,,PROD00123
Savings Account,SAV5656538687,2011-09-03,45934.13,,0.0299,,Citadel Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00124
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lee LLC,Pediatrician,BUS31654131,163.0,"8904 Elm St, Seattle, PA",2021.0,2022.0,1458397.17,851987.4,606409.77,PROD00125
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lee LLC,Pediatrician,BUS31654131,163.0,"8904 Elm St, Seattle, PA",2021.0,2023.0,4213086.37,3280875.67,932210.7,PROD00126
Small Business Account,,,,,,,,,,,,,,,,,,,,,Lee LLC,Pediatrician,BUS31654131,163.0,"8904 Elm St, Seattle, PA",2021.0,2024.0,4330300.71,4019943.2,310357.51,PROD00127
Savings Account,SAV6447415720,2010-01-16,26880.43,,0.0092,,Community Savings,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00128
Credit Card,,,,,,,,,,,,,,,,5117838075918729.0,6745.99,5000.0,Visa,2025-07-21,,,,,,,,,,,PROD00129
Checking Account,CHK7686467885,2019-12-09,4216.28,,0.0162,,United Trust Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00130
Savings Account,SAV2595981740,2011-03-22,43352.38,,0.0072,,MetroBank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00131
Savings Account,SAV6452446805,2011-03-30,34735.18,,0.044,,Citadel Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00132
Home Loan Account,,,,,,,,,LN307774630524,251258.89,25.0,0.0361,71255.28,2827.09,2019-06-19,,,,,,,,,,,,,,,,PROD00133
Certificate Of Deposit,CD0680914949,2020-11-19,89521.31,2023-11-19,0.0469,102716.93,Community Savings,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00134
Checking Account,CHK3880306606,2024-04-13,10491.62,,0.007,,United Trust Bank,North Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00135
Home Loan Account,,,,,,,,,LN412606894103,744225.21,15.0,0.0252,273548.68,1636.43,2022-04-17,,,,,,,,,,,,,,,,PROD00136
Checking Account,CHK7191506476,2011-05-25,13798.41,,0.0185,,Citadel Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00137
Savings Account,SAV7539312056,2018-08-18,14246.04,,0.0471,,First National Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00138
Checking Account,CHK8826136772,2016-08-27,1691.15,,0.015,,First National Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00139
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rodriguez Enterprise,Construction,BUS45149050,56.0,"752 Maple Ave, Portland, TX",2022.0,2022.0,1446709.24,1187289.8,259419.44,PROD00140
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rodriguez Enterprise,Construction,BUS45149050,56.0,"752 Maple Ave, Portland, TX",2022.0,2023.0,3840207.8,2652081.51,1188126.29,PROD00141
Small Business Account,,,,,,,,,,,,,,,,,,,,,Rodriguez Enterprise,Construction,BUS45149050,56.0,"752 Maple Ave, Portland, TX",2022.0,2024.0,2023341.51,1594882.31,428459.2,PROD00142
Checking Account,CHK1009913576,2022-06-04,991.73,,0.021,,Community Savings,Central,,,,,,,,,,,,,,,,,,,,,,,PROD00143
Savings Account,SAV1606610104,2012-10-11,26150.27,,0.0394,,First National Bank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00144
Checking Account,CHK1172870820,2023-12-23,14625.76,,0.0188,,Liberty Bank,Westside,,,,,,,,,,,,,,,,,,,,,,,PROD00145
Home Loan Account,,,,,,,,,LN508117861708,61673.67,15.0,0.0436,23619.75,920.41,2018-05-25,,,,,,,,,,,,,,,,PROD00146
Home Loan Account,,,,,,,,,LN293851602504,883141.68,25.0,0.0587,274390.15,614.65,2023-02-14,,,,,,,,,,,,,,,,PROD00147
Credit Card,,,,,,,,,,,,,,,,2772399775719056.0,10401.91,2000.0,Mastercard,2022-04-01,,,,,,,,,,,PROD00148
Home Loan Account,,,,,,,,,LN732949912028,442403.96,25.0,0.0429,330873.66,2987.7,2023-09-02,,,,,,,,,,,,,,,,PROD00149
Credit Card,,,,,,,,,,,,,,,,4922387732027511.0,6990.83,7500.0,Visa,2020-09-12,,,,,,,,,,,PROD00150
Savings Account,SAV2116860830,2010-07-27,48420.0,,0.0204,,MetroBank,Eastside,,,,,,,,,,,,,,,,,,,,,,,PROD00151
Credit Card,,,,,,,,,,,,,,,,2904472481089183.0,9454.46,15000.0,Visa,2023-05-09,,,,,,,,,,,PROD00152
Certificate Of Deposit,CD8819094743,2014-06-08,81120.57,2019-06-07,0.0101,85300.75,First National Bank,Downtown,,,,,,,,,,,,,,,,,,,,,,,PROD00153
Checking Account,CHK3924166648,2018-09-29,914.69,,0.0084,,Pioneer Bank,Uptown,,,,,,,,,,,,,,,,,,,,,,,PROD00154
Savings Account,SAV5687973549,2016-04-08,16080.22,,0.0143,,Liberty Bank,South Branch,,,,,,,,,,,,,,,,,,,,,,,PROD00155
Small Business Account,,,,,,,,,,,,,,,,,,,,,Phillips Co,Real Estate,BUS84352122,137.0,"1016 Lakeview Dr, Denver, TN",2014.0,2022.0,1786927.08,1568296.58,218630.5,PROD00156
Small Business Account,,,,,,,,,,,,,,,,,,,,,Phillips Co,Real Estate,BUS84352122,137.0,"1016 Lakeview Dr, Denver, TN",2014.0,2023.0,4229200.09,2449743.71,1779456.38,PROD00157
Small Business Account,,,,,,,,,,,,,,,,,,,,,Phillips Co,Real Estate,BUS84352122,137.0,"1016 Lakeview Dr, Denver, TN",2014.0,2024.0,2970747.16,2563144.61,407602.55,PROD00158
Small Business Account,,,,,,,,,,,,,,,,,,,,,Thompson Inc,Construction,BUS98895100,155.0,"3684 Main St, Indianapolis, CA",1990.0,2022.0,1672035.29,1298102.4,373932.89,PROD00159
Small Business Account,,,,,,,,,,,,,,,,,,,,,Thompson Inc,Construction,BUS98895100,155.0,"3684 Main St, Indianapolis, CA",1990.0,2023.0,4036098.16,2636950.71,1399147.45,PROD00160
